iter	Logloss
278	0.1567452369
279	0.1564965262
280	0.1560523638
281	0.1555607888
282	0.1551181952
283	0.1546668815
284	0.1544830104
285	0.1539754329
286	0.1535062882
287	0.1530952117
288	0.1528149784
289	0.152276665
290	0.1519698236
291	0.1513603329
292	0.1509250252
293	0.150674069
294	0.1502114753
295	0.149936988
296	0.1498211751
297	0.1495845415
298	0.1490588957
299	0.1487787281
300	0.1482121615
301	0.1477863281
302	0.1475820086
303	0.147245087
304	0.1468675834
305	0.1465867892
306	0.1461065203
307	0.1457509801
308	0.1451379189
309	0.1449130055
310	0.1445060735
311	0.1441079859
312	0.1438266126
313	0.1434274366
314	0.1429969908
315	0.1427931948
316	0.1423924448
317	0.1419175211
318	0.1414916398
319	0.1413027139
320	0.1411400368
321	0.1408074262
322	0.1403840903
323	0.1401056165
324	0.1394823553
325	0.1392308524
326	0.1389654042
327	0.1385285273
328	0.1382456892
329	0.1380706397
330	0.1378230731
331	0.1375384205
332	0.1370674786
333	0.1368761131
334	0.1365732291
335	0.1363384237
336	0.1361039098
337	0.1358028654
338	0.1353333216
339	0.1350844843
340	0.1346296311
341	0.1343059255
342	0.1340680275
343	0.1339360616
344	0.1337090762
345	0.1333385126
346	0.1331129113
347	0.1326563049
348	0.1322331195
349	0.1319573556
350	0.1316987361
351	0.131425987
352	0.1311373828
353	0.1309294424
354	0.1303101356
355	0.1299026481
356	0.1294640714
357	0.1292730814
358	0.1288623506
359	0.1285724443
360	0.1283168515
361	0.1281496034
362	0.127906046
363	0.1274810026
364	0.1271939139
365	0.1268244373
366	0.1265677052
367	0.1262032253
368	0.1259782264
369	0.1255037221
370	0.1252911967
371	0.1251421916
372	0.1248080057
373	0.1244782941
374	0.124250626
375	0.1240387399
376	0.1238704107
377	0.1235040671
378	0.1233728736
379	0.1232443599
380	0.1229459178
381	0.1227173763
382	0.1221407808
383	0.1220031141
384	0.1217147546
385	0.121058331
386	0.1204524809
387	0.1200329642
388	0.1194823755
389	0.119126789
390	0.1189778305
391	0.1187922251
392	0.1186027128
393	0.1184038169
394	0.1180282841
395	0.117655876
396	0.1174535243
397	0.1170653052
398	0.1167675528
399	0.1164539618
400	0.1162885356
401	0.1159291083
402	0.1157222003
403	0.1157010162
404	0.1154040484
405	0.1151695772
406	0.1149021855
407	0.1147600041
408	0.1145647105
409	0.1144597439
410	0.1144006424
411	0.1142141468
412	0.1139399555
413	0.1137233143
414	0.1134122062
415	0.1129441043
416	0.1128087583
417	0.1126546947
418	0.112441088
419	0.1121017723
420	0.1120241891
421	0.1118070337
422	0.1117437717
423	0.1115024025
424	0.1113272033
425	0.1109588575
426	0.1104345592
427	0.1102274595
428	0.1098394619
429	0.1095735489
430	0.1093117138
431	0.1087059318
432	0.1086350538
433	0.108264842
434	0.1080595055
435	0.1077208699
436	0.1072888586
437	0.1071195029
438	0.106900176
439	0.1066942217
440	0.1065714654
441	0.1063247961
442	0.1061460387
443	0.1058666251
444	0.1055426359
445	0.1051403175
446	0.1048537338
447	0.1046581634
448	0.1044329338
449	0.1042352537
450	0.1040234321
451	0.1036809064
452	0.1033636855
453	0.1031639366
454	0.102883421
455	0.1026682624
456	0.102248454
457	0.1019973487
458	0.1017897014
459	0.1014635141
460	0.1014128016
461	0.1011934238
462	0.1009001551
463	0.1005198642
464	0.100387103
465	0.1002731295
466	0.1000052869
467	0.0996778133
468	0.09950557066
469	0.09925201612
470	0.09912228707
471	0.0989345957
472	0.0986769495
473	0.09834028599
474	0.09792975375
475	0.09751282881
476	0.09734982044
477	0.09728704605
478	0.09689901715
479	0.09680240818
480	0.09659740654
481	0.09645642359
482	0.0960901978
483	0.09572256081
484	0.09558368648
485	0.09535422794
486	0.09518136259
487	0.09479057806
488	0.094560442
489	0.09424728676
490	0.09400377233
491	0.09376408241
492	0.0933505639
493	0.09309712062
494	0.0927629684
495	0.09232147947
496	0.09217664701
497	0.09194288121
498	0.09191662993
499	0.09157564811
