iter	Logloss
0	0.6845133717
1	0.6739155709
2	0.6635369394
3	0.6548757245
4	0.645124412
5	0.6356291254
6	0.6267484592
7	0.6194745325
8	0.6117922768
9	0.6038110328
10	0.5959050115
11	0.5889621405
12	0.581770685
13	0.5752347975
14	0.5691034221
15	0.5614702961
16	0.553564358
17	0.5459682325
18	0.5394984268
19	0.5324011995
20	0.5254793828
21	0.5186765878
22	0.5132153249
23	0.5071570252
24	0.5006290454
25	0.4943005913
26	0.4879585036
27	0.4826614258
28	0.4775606077
29	0.4710702338
30	0.465702322
31	0.4605743913
32	0.4551408315
33	0.4505677174
34	0.4462400573
35	0.4417827471
36	0.4373525819
37	0.4336757233
38	0.4298765891
39	0.4257282724
40	0.4217798738
41	0.4170646871
42	0.4129056034
43	0.4075894903
44	0.4038019101
45	0.3998715399
46	0.3959975063
47	0.392551031
48	0.3895000916
49	0.3864254034
50	0.3828681775
51	0.3796469826
52	0.3757596003
53	0.3726575517
54	0.3693655234
55	0.3672986834
56	0.3634899902
57	0.3613710951
58	0.3584001097
59	0.3554943997
60	0.3532006705
61	0.3509801676
62	0.348553927
63	0.346212221
64	0.34414243
65	0.3414791747
66	0.3384957205
67	0.335972578
68	0.3346539979
69	0.3325714461
70	0.3307387663
71	0.3288280039
72	0.3266534463
73	0.3240024821
74	0.3217014264
75	0.3204993054
76	0.318028064
77	0.3151501597
78	0.3124929664
79	0.3101438374
80	0.3077700005
81	0.3061110351
82	0.3043865418
83	0.3025365646
84	0.3009044872
85	0.2990809885
86	0.2976333652
87	0.2959454004
88	0.2940919254
89	0.2924611626
90	0.2911530652
91	0.2891609425
92	0.2882748957
93	0.2871177397
94	0.2858801156
95	0.2838328853
96	0.2822571345
97	0.2807206254
98	0.27978543
99	0.2779715388
100	0.2764140218
101	0.2759200405
102	0.2744270182
103	0.2733653341
104	0.2718321671
105	0.2707213576
106	0.2688896343
107	0.267323222
108	0.2653664308
109	0.2643133871
110	0.2634648214
111	0.2624667139
112	0.2611307852
113	0.2596132067
114	0.2584963296
115	0.2573961325
116	0.2566486573
117	0.255590546
118	0.2544390071
119	0.2535213345
120	0.2523691957
121	0.2513289415
122	0.2504799672
123	0.2494885399
124	0.2488083052
125	0.2476032195
126	0.2462544469
127	0.2455838701
128	0.2441220942
129	0.2430890417
130	0.2422037232
131	0.2412338088
132	0.240453892
133	0.2398428378
134	0.238809138
135	0.2379570302
136	0.2372599226
137	0.2366718224
138	0.2356692479
139	0.2340695028
140	0.233312774
141	0.2328278188
142	0.2317546805
143	0.2307091616
144	0.2297891244
145	0.228676731
146	0.2280838925
147	0.2276802836
148	0.2269492426
149	0.2263870188
150	0.2248741792
151	0.2238514853
152	0.2227498135
153	0.2216144477
154	0.2209809656
155	0.2200951734
156	0.2191421665
157	0.2184927041
158	0.2175852279
159	0.2166078108
160	0.2154809659
161	0.2147630421
162	0.2140888927
163	0.2133318094
164	0.2125215939
165	0.2120158558
166	0.210954631
167	0.2105558464
168	0.2097811619
169	0.2089576475
170	0.2081657375
171	0.2073489435
172	0.2063628553
173	0.2056927314
174	0.2043857793
175	0.2037724901
176	0.2030703523
177	0.2023484489
178	0.2017653239
179	0.2007700504
180	0.2003283444
181	0.199630507
182	0.1994474202
183	0.1987089845
184	0.1982458546
185	0.1976094094
186	0.1971528471
187	0.1966513751
188	0.1963101384
189	0.1955190151
190	0.195124286
191	0.1942492911
192	0.1935590443
193	0.193161114
194	0.1925272594
195	0.1919516285
196	0.1916235723
197	0.1911531117
198	0.1903492117
199	0.189947642
200	0.1896061046
201	0.1892340034
202	0.1886128541
203	0.1881315373
204	0.1878131796
205	0.187339813
206	0.1870616565
207	0.1867418667
208	0.1862796606
209	0.1858174924
210	0.1851491542
211	0.1844135921
212	0.1841300911
213	0.1838483254
214	0.1832474461
215	0.1827872176
216	0.1824153118
217	0.1817518882
218	0.1810040991
219	0.1805850041
220	0.1801906939
221	0.1796607218
222	0.1793528035
223	0.1788848516
224	0.1783573869
225	0.1778528911
226	0.1772568087
227	0.176564466
228	0.17597012
229	0.1755837832
230	0.1752547406
231	0.1745579262
232	0.1743436624
233	0.1738038845
234	0.1733150013
235	0.1730065863
236	0.1727198934
237	0.1721662161
238	0.1715203904
239	0.17122699
240	0.1708470598
241	0.1703802674
242	0.1700220712
243	0.1697811283
244	0.1689881717
245	0.1685430415
246	0.1681755228
247	0.1677991839
248	0.1671435165
249	0.1667833282
250	0.1666933631
251	0.1664309843
252	0.1658891711
253	0.1655236447
254	0.1652471371
255	0.1649759404
256	0.1645710467
257	0.1640620117
258	0.1637562949
259	0.1635118811
260	0.1632134546
261	0.1628617415
262	0.1623633724
263	0.1620234768
264	0.1615956602
265	0.1614493022
266	0.161096768
267	0.1606105
268	0.1601614252
269	0.1600138635
270	0.1598102407
271	0.1594291941
272	0.1591714312
273	0.1588314463
274	0.1583562417
275	0.1580864929
276	0.1575755117
277	0.157246774
