"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMED10",0.000304954867022946,0.304000524129611,0.259,0.195,1,"2","TMED10"
"SSR4",0.000425464512331699,0.329529428158149,0.468,0.419,1,"2","SSR4"
"TAPBP",0.0004641453759101,0.266993235153627,0.259,0.194,1,"2","TAPBP"
"ATP6V1G1",0.000921840372802902,0.255984784099198,0.327,0.263,1,"2","ATP6V1G1"
"MGST3",0.00286354431962017,0.321604509735595,0.272,0.22,1,"2","MGST3"
"TCF25",0.00306984356919217,0.339941196490398,0.29,0.237,1,"2","TCF25"
"ATP5G2",0.00315926366076555,0.258327195146624,0.403,0.348,1,"2","ATP5G2"
"COL3A1",0,5.56931143999116,0.895,0.073,0,"3","COL3A1"
"COL1A2",0,5.28347041971571,0.927,0.105,0,"3","COL1A2"
"SPARC",0,5.01092673383874,0.887,0.068,0,"3","SPARC"
"RGS5",0,4.33429239516994,0.343,0.014,0,"3","RGS5"
"MGP",0,4.24310254767981,0.672,0.046,0,"3","MGP"
"DCN",0,4.21470142569182,0.718,0.023,0,"3","DCN"
"IGFBP7",0,4.17015612540476,0.855,0.091,0,"3","IGFBP7"
"SPARCL1",0,3.8104664677369,0.5,0.037,0,"3","SPARCL1"
"BGN",0,3.72481524712966,0.802,0.021,0,"3","BGN"
"CALD1",0,3.64656096352995,0.805,0.078,0,"3","CALD1"
"LUM",0,3.62015778541627,0.596,0.02,0,"3","LUM"
"COL6A2",0,3.55288445486328,0.773,0.019,0,"3","COL6A2"
"FN1",0,3.51568013055612,0.622,0.043,0,"3","FN1"
"COL6A1",0,3.50398901298933,0.788,0.06,0,"3","COL6A1"
"COL6A3",0,3.47877304483157,0.686,0.037,0,"3","COL6A3"
"TAGLN",0,3.42358895427646,0.587,0.039,0,"3","TAGLN"
"POSTN",0,3.24478999138236,0.456,0.014,0,"3","POSTN"
"C1S",0,3.2159431867548,0.724,0.048,0,"3","C1S"
"C1R",0,3.19282954921942,0.791,0.094,0,"3","C1R"
"SFRP4",0,3.15765117326212,0.372,0.011,0,"3","SFRP4"
"COL4A2",0,3.08129831444035,0.483,0.028,0,"3","COL4A2"
"COL5A2",0,2.99106785636844,0.631,0.028,0,"3","COL5A2"
"TIMP2",0,2.98809776247175,0.672,0.082,0,"3","TIMP2"
"THY1",0,2.9873830515037,0.593,0.025,0,"3","THY1"
"AEBP1",0,2.98699029305321,0.578,0.007,0,"3","AEBP1"
"MYL9",0,2.87800535365237,0.561,0.044,0,"3","MYL9"
"SFRP2",0,2.84507788997564,0.442,0.006,0,"3","SFRP2"
"ISLR",0,2.77012817123101,0.468,0.016,0,"3","ISLR"
"DIO2",0,2.73144507555576,0.401,0.007,0,"3","DIO2"
"CTSK",0,2.7119092809182,0.549,0.026,0,"3","CTSK"
"RARRES2",0,2.70230788653812,0.532,0.005,0,"3","RARRES2"
"COL5A1",0,2.69528696621063,0.547,0.022,0,"3","COL5A1"
"LHFP",0,2.6921535221669,0.477,0.011,0,"3","LHFP"
"PDGFRB",0,2.56501385274953,0.541,0.008,0,"3","PDGFRB"
"IGFBP4",0,2.55657727839371,0.68,0.076,0,"3","IGFBP4"
"FSTL1",0,2.55608421690749,0.558,0.034,0,"3","FSTL1"
"VCAN",0,2.41337596343579,0.401,0.017,0,"3","VCAN"
"SERPINF1",0,2.40490030940167,0.602,0.05,0,"3","SERPINF1"
"COL12A1",0,2.38319977479449,0.41,0.01,0,"3","COL12A1"
"SOD3",0,2.38173747527599,0.404,0.006,0,"3","SOD3"
"SPON2",0,2.33737960591247,0.445,0.01,0,"3","SPON2"
"ASPN",0,2.17211123590965,0.358,0.006,0,"3","ASPN"
"PCOLCE",0,2.16632162729702,0.474,0.009,0,"3","PCOLCE"
"NNMT",0,2.10524674692676,0.456,0.013,0,"3","NNMT"
"ANTXR1",0,2.09997007604102,0.401,0.01,0,"3","ANTXR1"
"MXRA8",0,2.06672108111083,0.436,0.004,0,"3","MXRA8"
"COL10A1",0,1.99461719697601,0.297,0.003,0,"3","COL10A1"
"THBS2",0,1.87236164511319,0.331,0.006,0,"3","THBS2"
"HTRA3",0,1.8499539624625,0.285,0.008,0,"3","HTRA3"
"LAMA4",0,1.84884608840702,0.384,0.01,0,"3","LAMA4"
"MFAP4",0,1.82594943767478,0.267,0.002,0,"3","MFAP4"
"PRRX1",0,1.65736571471855,0.381,0.005,0,"3","PRRX1"
"COL14A1",0,1.5818824656608,0.267,0.004,0,"3","COL14A1"
"ADAMTS2",0,1.55340279273091,0.314,0.007,0,"3","ADAMTS2"
"COL8A1",0,1.52957540294189,0.25,0.003,0,"3","COL8A1"
"PXDN",0,1.52397441798195,0.302,0.01,0,"3","PXDN"
"FBLN2",0,1.51107913130408,0.291,0.009,0,"3","FBLN2"
"FBN1",0,1.42278507197202,0.299,0.006,0,"3","FBN1"
"CDH11",0,1.32106019482879,0.273,0.003,0,"3","CDH11"
"DDR2",0,1.30069837908648,0.262,0.006,0,"3","DDR2"
"OLFML2B",0,1.21969551562512,0.265,0.003,0,"3","OLFML2B"
"CTGF",4.78669132887381e-301,2.46501132536159,0.433,0.028,1.54571836391993e-296,"3","CTGF"
"SERPING11",5.03761435786776e-300,3.09724035226938,0.808,0.142,1.62674642844266e-295,"3","SERPING1"
"RAB31",4.52391212007944e-295,2.0092908033873,0.468,0.035,1.46086170181605e-290,"3","RAB31"
"MXRA5",2.11492886106109e-288,1.76338393917031,0.343,0.017,6.82952827813849e-284,"3","MXRA5"
"PLXDC1",4.85276524807024e-281,1.68275717923858,0.294,0.011,1.56705495390684e-276,"3","PLXDC1"
"CTHRC1",4.61583804091535e-272,2.41683529610269,0.424,0.032,1.49054642017239e-267,"3","CTHRC1"
"TPM1",1.19884936924724e-265,2.36016605498172,0.547,0.059,3.8713243831732e-261,"3","TPM1"
"NREP",2.44993803952769e-263,1.66883489200864,0.349,0.02,7.91133991724282e-259,"3","NREP"
"HTRA1",8.71929660373395e-263,1.96856641645788,0.404,0.028,2.81563525927777e-258,"3","HTRA1"
"COL4A1",1.32033260576135e-262,2.5791611269083,0.375,0.024,4.26361805052454e-258,"3","COL4A1"
"COL1A1",5.80191151625199e-256,5.47534508893044,0.927,0.288,1.87355326682809e-251,"3","COL1A1"
"FILIP1L",4.45359485189005e-252,1.98139651046225,0.36,0.023,1.43815484957233e-247,"3","FILIP1L"
"MMP11",5.08790740791518e-242,3.5022719233571,0.427,0.037,1.64298706016397e-237,"3","MMP11"
"LGALS1",1.0236836296049e-238,2.60899881796342,0.776,0.154,3.30567917672013e-234,"3","LGALS1"
"PTRF",4.68821930035832e-237,2.43248658025481,0.619,0.09,1.51391977647171e-232,"3","PTRF"
"MFGE8",3.80000005866791e-234,1.93882338715636,0.488,0.052,1.22709601894504e-229,"3","MFGE8"
"KANK2",1.99893546884998e-233,1.2424556720315,0.265,0.012,6.45496241601035e-229,"3","KANK2"
"SDC2",1.172818728879e-228,1.23692359962792,0.265,0.012,3.78726623929606e-224,"3","SDC2"
"A2M",3.30144017543556e-223,2.39657816931132,0.334,0.023,1.06610106145165e-218,"3","A2M"
"TIMP11",6.45863227328044e-223,3.23181787015744,0.61,0.093,2.08562153368772e-218,"3","TIMP1"
"MMP2",2.08404476271442e-219,3.78477539192608,0.576,0.086,6.72979734775741e-215,"3","MMP2"
"TCF4",1.55660811463817e-215,1.98912400724964,0.541,0.07,5.02659892378959e-211,"3","TCF4"
"SULF1",6.73501403397347e-212,2.03379173608198,0.369,0.031,2.17487073185071e-207,"3","SULF1"
"ACTA2",4.53349768198665e-209,3.01640542739497,0.381,0.034,1.46395707146713e-204,"3","ACTA2"
"OAF",2.54787156057727e-204,1.33459465465148,0.299,0.019,8.22758684341613e-200,"3","OAF"
"COL18A1",4.41075612133009e-202,2.92644219322544,0.506,0.068,1.42432136669991e-197,"3","COL18A1"
"PRSS23",7.39073586759164e-199,1.76625249687817,0.34,0.027,2.38661642636269e-194,"3","PRSS23"
"CFH",8.02405563337649e-199,1.57854403064536,0.317,0.023,2.59112804512994e-194,"3","CFH"
"MYLK",2.16942575908996e-198,2.0460772643259,0.323,0.024,7.00550966125328e-194,"3","MYLK"
"TPM2",2.21828491822055e-197,2.10342208667842,0.494,0.066,7.16328565791781e-193,"3","TPM2"
"CCDC80",9.14467127710176e-196,2.57220148649311,0.491,0.065,2.9529972488017e-191,"3","CCDC80"
"C11orf96",6.76336751522294e-195,1.70593816918041,0.317,0.024,2.18402663801579e-190,"3","C11orf96"
"INHBA",1.5015893971687e-191,1.54631360309064,0.291,0.02,4.84893248133715e-187,"3","INHBA"
"MMP1",3.99687577525788e-191,3.28494424246552,0.27,0.017,1.29067112534628e-186,"3","MMP1"
"NBL1",1.53451031417139e-185,2.71148713974501,0.561,0.094,4.95524070652225e-181,"3","NBL1"
"CNN3",1.55441588688229e-169,1.74047438635501,0.442,0.059,5.01951978192028e-165,"3","CNN3"
"EHD2",1.41096318857396e-166,1.20123376523173,0.27,0.02,4.55628232854303e-162,"3","EHD2"
"MMP14",4.24868795816035e-166,2.11394949334084,0.523,0.089,1.37198631544914e-161,"3","MMP14"
"LRP1",3.7193265093739e-158,1.81136950858739,0.41,0.054,1.20104491640702e-153,"3","LRP1"
"ID3",4.20545301565334e-156,1.97827718644939,0.515,0.086,1.35802488781478e-151,"3","ID3"
"PMP22",6.88570402168782e-153,1.21276706931332,0.262,0.02,2.22353154268343e-148,"3","PMP22"
"GOLM1",5.10751761526182e-143,1.33021784675733,0.291,0.028,1.64931958832035e-138,"3","GOLM1"
"FBLN1",3.52225931156335e-137,2.18387874337092,0.422,0.068,1.13740797689004e-132,"3","FBLN1"
"CYR61",3.6119566158417e-134,2.26003382041419,0.404,0.063,1.1663730303876e-129,"3","CYR61"
"TIMP3",2.48322188172169e-133,1.86980563889511,0.282,0.029,8.0188201004557e-129,"3","TIMP3"
"UACA",3.77071157625372e-120,1.34668345875364,0.285,0.033,1.21763818220385e-115,"3","UACA"
"DKK3",1.43463603200575e-117,1.19883602574484,0.265,0.029,4.63272667455296e-113,"3","DKK3"
"MFAP2",2.61852162263602e-117,1.62991197800835,0.343,0.051,8.45573002381623e-113,"3","MFAP2"
"PRKCDBP",8.18468381497612e-117,1.33071436231107,0.334,0.047,2.64299809753209e-112,"3","PRKCDBP"
"NOTCH3",7.06144292580679e-115,2.16435191504729,0.41,0.076,2.28028114960153e-110,"3","NOTCH3"
"LAMB2",9.36301729054532e-115,1.21015582062419,0.282,0.033,3.02350554346289e-110,"3","LAMB2"
"CAV1",4.71514469696241e-114,1.72464513551899,0.372,0.061,1.5226145255431e-109,"3","CAV1"
"SERPINH1",1.33179095851098e-110,1.68525516525303,0.529,0.129,4.30061936322365e-106,"3","SERPINH1"
"LAMC1",6.82931040480279e-110,1.28063282309204,0.276,0.034,2.20532091591892e-105,"3","LAMC1"
"LAMB1",6.55610223412813e-108,1.34044483915155,0.32,0.046,2.11709653344466e-103,"3","LAMB1"
"ITGB5",7.90410588832292e-106,1.2361075991506,0.311,0.045,2.55239387345724e-101,"3","ITGB5"
"CPE",1.07853245156604e-105,1.8098447324054,0.311,0.046,3.48279699259707e-101,"3","CPE"
"CD631",4.92022449498339e-105,1.79447765545778,0.773,0.323,1.58883889392004e-100,"3","CD63"
"MCAM",1.76060480069058e-103,2.10198914784918,0.279,0.037,5.68534502239001e-99,"3","MCAM"
"CST31",2.0983233948158e-100,1.79818222717852,0.683,0.251,6.77590590653917e-96,"3","CST3"
"NR2F2",4.9760534710051e-97,1.78874755091468,0.337,0.059,1.60686718685697e-92,"3","NR2F2"
"IFITM31",7.73236219406936e-93,1.65218489549101,0.91,0.612,2.49693439970888e-88,"3","IFITM3"
"CALU",1.69010678231709e-91,1.481558456947,0.448,0.105,5.45769282145834e-87,"3","CALU"
"FKBP10",6.67583133726926e-89,1.17759509151176,0.267,0.039,2.15575945543099e-84,"3","FKBP10"
"RP3.412A9.11",2.03257303861717e-88,1.25346495240636,0.334,0.061,6.56358485630255e-84,"3","RP3.412A9.11"
"MAP1B",8.65924660478386e-84,1.42487454664068,0.27,0.042,2.7962439136168e-79,"3","MAP1B"
"CRIP21",1.93763607228403e-83,1.10281564798256,0.326,0.058,6.25701440461959e-79,"3","CRIP2"
"ADAMTS1",2.78570863105543e-83,1.5554828440225,0.291,0.049,8.99561031140418e-79,"3","ADAMTS1"
"PALLD",3.07946503377564e-82,1.62119021399101,0.427,0.108,9.9442084870683e-78,"3","PALLD"
"APP1",1.01529791680183e-81,1.47019007483647,0.5,0.145,3.27860003293647e-77,"3","APP"
"PMEPA1",1.35795199605057e-76,1.37890870436044,0.416,0.099,4.38509858564651e-72,"3","PMEPA1"
"DSTN1",2.61703598467203e-75,1.49305764149885,0.512,0.158,8.45093260170291e-71,"3","DSTN"
"VIM1",3.22002711567718e-74,1.25166164643594,0.837,0.404,1.03981115619448e-69,"3","VIM"
"CRTAP",1.48714702707654e-72,1.16739384264309,0.311,0.062,4.80229517983557e-68,"3","CRTAP"
"THBS1",2.82292193147447e-72,1.28984805585731,0.27,0.048,9.11577950111737e-68,"3","THBS1"
"EPAS1",4.20460073731333e-69,1.37585874775879,0.302,0.062,1.35774967009322e-64,"3","EPAS1"
"TUBA1A1",2.48374285559636e-68,1.24277486821135,0.506,0.154,8.02050242929177e-64,"3","TUBA1A"
"AC098614.2",3.48580224630367e-65,1.1625965658321,0.398,0.107,1.12563526137638e-60,"3","AC098614.2"
"MRC2",5.42364379053093e-65,1.24272184087425,0.305,0.067,1.75140305283825e-60,"3","MRC2"
"MARCKS",8.81263659929235e-63,1.33526614277992,0.485,0.164,2.84577661064349e-58,"3","MARCKS"
"LEPROT",1.27867927754769e-58,0.947319006149842,0.27,0.056,4.12911112305701e-54,"3","LEPROT"
"IGFBP5",3.07313743212805e-58,2.27637179107129,0.363,0.104,9.92377539582789e-54,"3","IGFBP5"
"NDUFA4L2",5.0348471238868e-57,1.69243884357981,0.256,0.054,1.62585283324553e-52,"3","NDUFA4L2"
"ITGB11",2.30700150365546e-55,1.30022388305449,0.573,0.234,7.4497692556042e-51,"3","ITGB1"
"NFIX1",1.06031876430175e-54,1.07860879559446,0.256,0.055,3.42398135368321e-50,"3","NFIX"
"DPYSL3",3.07942575121595e-54,1.25742273622307,0.253,0.055,9.94408163582656e-50,"3","DPYSL3"
"LAPTM4A1",1.54198209691739e-46,1.20035149162373,0.52,0.223,4.97936858736564e-42,"3","LAPTM4A"
"CD991",1.39486135000727e-45,1.0887304137834,0.517,0.212,4.50428627144346e-41,"3","CD99"
"ACTN1",2.30200037475326e-45,1.32603196574796,0.355,0.115,7.43361961015322e-41,"3","ACTN1"
"ANXA51",5.65892730377876e-45,1.03125197091174,0.451,0.164,1.82738080493624e-40,"3","ANXA5"
"TPM4",2.68699117743724e-43,1.32444508647769,0.59,0.303,8.67683191018033e-39,"3","TPM4"
"TGFBI",1.06036315346379e-41,1.06586396106123,0.253,0.066,3.42412469516526e-37,"3","TGFBI"
"PSAP",1.10252300597481e-38,0.870356669658895,0.724,0.445,3.56026729089387e-34,"3","PSAP"
"EID1",1.31115984513461e-38,0.985196237140181,0.436,0.171,4.2339973719087e-34,"3","EID1"
"MAFB",3.34580646492233e-38,1.0932358623422,0.265,0.076,1.08042782365272e-33,"3","MAFB"
"MYL61",9.26248047837768e-38,0.931579178471832,0.875,0.761,2.99104019607772e-33,"3","MYL6"
"MYO1C",1.04059898854037e-37,0.732512779983183,0.279,0.081,3.36030225379456e-33,"3","MYO1C"
"CYB5R3",5.60209290464082e-37,0.912827862087282,0.369,0.134,1.80902784076661e-32,"3","CYB5R3"
"POLR2B",5.14724982813451e-35,0.907650669248929,0.334,0.116,1.6621499145012e-30,"3","POLR2B"
"GSN1",6.19541986386854e-35,1.34735292289608,0.459,0.212,2.00062498244043e-30,"3","GSN"
"IFITM21",2.19433784517233e-34,0.888020523827935,0.648,0.344,7.08595576963048e-30,"3","IFITM2"
"CTSB2",1.0696285317602e-33,0.776276298268555,0.608,0.343,3.45404445476003e-29,"3","CTSB"
"RABAC1",2.92773751651314e-33,0.821490680346879,0.253,0.075,9.45424998832422e-29,"3","RABAC1"
"CAPZB1",3.38576407561719e-33,0.905896892485527,0.785,0.562,1.0933309352983e-28,"3","CAPZB"
"CD811",4.51087545417478e-32,0.965981318096722,0.515,0.256,1.45665190166212e-27,"3","CD81"
"ANKRD10",3.16124696108643e-31,0.814006152349323,0.27,0.086,1.02082986867403e-26,"3","ANKRD10"
"OAZ2",1.24724846291235e-30,0.966601039069714,0.265,0.087,4.02761473643655e-26,"3","OAZ2"
"SOX41",6.12309862293684e-30,0.887676725349355,0.526,0.269,1.97727100731876e-25,"3","SOX4"
"TSC22D11",8.2055109560783e-30,0.895617261904014,0.282,0.098,2.6497235979368e-25,"3","TSC22D1"
"GEM",8.5349484718894e-29,0.781774142118968,0.265,0.087,2.75610556054252e-24,"3","GEM"
"RGS16",1.32500487892635e-28,1.2306608517624,0.267,0.094,4.27870575502896e-24,"3","RGS16"
"VKORC1",3.8919725734067e-28,0.720820556060845,0.259,0.087,1.25679578340449e-23,"3","VKORC1"
"CYTOR1",7.2227119080543e-28,0.840998899302162,0.337,0.13,2.3323581293489e-23,"3","CYTOR"
"FTL1",7.56719466522042e-28,0.511990239264713,0.77,0.575,2.44359850129298e-23,"3","FTL"
"PPIB",8.55035038190762e-28,0.820935577785277,0.485,0.246,2.76107914532561e-23,"3","PPIB"
"SPATS2L",9.64285815944519e-28,0.789707150550551,0.317,0.122,3.11387175684804e-23,"3","SPATS2L"
"SEPW1",3.72899948724457e-27,0.856754717994154,0.401,0.181,1.20416851442102e-22,"3","SEPW1"
"TAX1BP3",5.63156671511996e-26,0.684410399280051,0.25,0.086,1.81854552364654e-21,"3","TAX1BP3"
"PLAU",8.97373467196934e-26,1.25420019878598,0.253,0.092,2.89779840027234e-21,"3","PLAU"
"FLNA1",3.70522470080417e-25,0.833028034824791,0.535,0.285,1.19649116038368e-20,"3","FLNA"
"PTEN",4.80685999275498e-25,0.709942607622118,0.265,0.095,1.55223122886044e-20,"3","PTEN"
"IFITM11",5.57429882351867e-25,0.845046090569181,0.448,0.221,1.80005257609065e-20,"3","IFITM1"
"ITM2B",1.49364828564411e-24,0.788529198889918,0.642,0.417,4.82328904400197e-20,"3","ITM2B"
"FOS1",1.93563416372964e-24,1.08522477914611,0.709,0.537,6.25054984151575e-20,"3","FOS"
"NFIC1",2.66412838311995e-24,0.874782314601051,0.337,0.146,8.60300337477094e-20,"3","NFIC"
"RRBP11",7.1090002370657e-24,0.91868364211609,0.378,0.178,2.29563835655326e-19,"3","RRBP1"
"GADD45B2",1.36206279954009e-23,0.96235283909163,0.477,0.252,4.39837319227485e-19,"3","GADD45B"
"SEPT71",1.4252768829386e-23,0.865395369285962,0.378,0.175,4.60250411038532e-19,"3","SEPT7"
"EGR1",1.56916557725515e-23,1.17945165120035,0.555,0.35,5.06714948207232e-19,"3","EGR1"
"ZBTB20",1.79087807854147e-23,0.821925788216129,0.256,0.095,5.7831034912261e-19,"3","ZBTB20"
"CD591",1.84891287719723e-23,0.925091323035886,0.346,0.158,5.97050946304529e-19,"3","CD59"
"NUCB1",6.01208685923854e-23,0.664959519994215,0.259,0.097,1.94142308858531e-18,"3","NUCB1"
"STOM",1.24412776804691e-22,0.897874468861096,0.32,0.141,4.01753738857709e-18,"3","STOM"
"MYH91",1.7492654668664e-22,0.868295397489718,0.57,0.349,5.64872804560497e-18,"3","MYH9"
"CD1511",4.40268731263317e-22,0.714829043935114,0.317,0.137,1.4217157869955e-17,"3","CD151"
"SEPT2",1.39520609722979e-21,0.657126913548367,0.334,0.147,4.50539952917444e-17,"3","SEPT2"
"RAB13",1.40860615623447e-21,0.75970941193622,0.317,0.139,4.54867099971234e-17,"3","RAB13"
"CEBPB",4.70216364271278e-21,0.660207393321312,0.259,0.102,1.51842268350481e-16,"3","CEBPB"
"MAP4",1.06785080916215e-20,0.607096230707576,0.27,0.108,3.44830383294642e-16,"3","MAP4"
"SEC31A",2.03845628008314e-19,0.838639782214539,0.317,0.147,6.58258301964449e-15,"3","SEC31A"
"RUNX1",4.73260034622815e-18,0.543772987676264,0.253,0.104,1.52825130380399e-13,"3","RUNX1"
"CKAP4",7.59071547973064e-18,0.64026683892348,0.262,0.114,2.45119384271462e-13,"3","CKAP4"
"GBP1",1.08469392694585e-17,0.764860526794031,0.32,0.154,3.50269362889355e-13,"3","GBP1"
"KIAA0930",2.8432093140377e-17,0.818910618626721,0.25,0.109,9.18129151689052e-13,"3","KIAA0930"
"PTTG1IP1",4.83777969617859e-17,0.635920586330823,0.314,0.151,1.56221581948999e-12,"3","PTTG1IP"
"OS9",3.3943571359155e-16,0.533180683200771,0.291,0.135,1.09610580632983e-11,"3","OS9"
"RHOA1",5.28868722554628e-16,0.528750146662216,0.515,0.314,1.7078228788734e-11,"3","RHOA"
"ARPC5",6.72337875077184e-16,0.648595866320575,0.36,0.187,2.17111346619924e-11,"3","ARPC5"
"CALM21",8.65244124493139e-16,0.557841420793686,0.625,0.432,2.79404632681325e-11,"3","CALM2"
"IER5L",1.40662690547363e-15,0.674646060108486,0.256,0.116,4.54227960315545e-11,"3","IER5L"
"MGST31",1.53279722854096e-15,0.746002894891958,0.387,0.216,4.94970881040446e-11,"3","MGST3"
"RHOC",2.3958113719484e-15,0.548638166114556,0.267,0.125,7.73655408229578e-11,"3","RHOC"
"PFDN52",4.47576784754034e-15,0.63567741125498,0.599,0.41,1.44531495332773e-10,"3","PFDN5"
"RTN4",1.04418279670646e-14,0.59749328288283,0.369,0.202,3.37187508712449e-10,"3","RTN4"
"EEF1A11",3.00395994001889e-14,0.255149382520265,0.985,0.927,9.70038743830900e-10,"3","EEF1A1"
"C12orf57",3.3228637391964e-14,0.561323069340982,0.483,0.301,1.0730191586613e-09,"3","C12orf57"
"SPTBN1",3.79253676654375e-14,0.651775289683919,0.253,0.119,1.22468597265231e-09,"3","SPTBN1"
"MYL12A1",1.0228834150401e-13,0.607322306619485,0.497,0.326,3.3030951238475e-09,"3","MYL12A"
"CIRBP1",1.27636778869828e-13,0.617601617969139,0.427,0.257,4.12164686326448e-09,"3","CIRBP"
"ZYX",1.32229525417124e-13,0.545636460811704,0.355,0.193,4.26995583476976e-09,"3","ZYX"
"TLN11",1.44710215223839e-13,0.627737117033283,0.352,0.195,4.6729822700082e-09,"3","TLN1"
"SEP15",2.10302033822927e-13,0.503252459046249,0.279,0.137,6.79107327620996e-09,"3","SEP15"
"TCEAL91",2.98031152555632e-13,0.625693630392325,0.299,0.16,9.62402197832647e-09,"3","TCEAL9"
"MT2A1",3.19517140191212e-13,0.726058118957417,0.526,0.354,1.03178474910546e-08,"3","MT2A"
"ACTB1",5.1781952496436e-13,0.320082661092628,0.924,0.881,1.67214281001491e-08,"3","ACTB"
"SNX3",6.12911285302577e-13,0.433430565048585,0.294,0.15,1.97921312249908e-08,"3","SNX3"
"GNAS1",6.90162743644713e-13,0.472896881240994,0.669,0.525,2.22867353177751e-08,"3","GNAS"
"GBP21",1.05388941417241e-12,0.449035228573105,0.308,0.158,3.40321969624555e-08,"3","GBP2"
"FTH11",2.09652970800069e-12,0.347851970974972,0.919,0.841,6.77011373307584e-08,"3","FTH1"
"B2M1",2.93411939737022e-12,0.255803113711254,1,0.972,9.47485835798791e-08,"3","B2M"
"TPT11",3.2245576760547e-12,0.270677454340468,0.948,0.923,1.04127416475158e-07,"3","TPT1"
"KDELR11",3.86487067315272e-12,0.628475593804713,0.311,0.176,1.24804403777448e-07,"3","KDELR1"
"FAM127A",4.48555069427108e-12,0.601543870758521,0.27,0.144,1.44847403019402e-07,"3","FAM127A"
"ATP5A1",5.47712376054138e-12,0.390221283657363,0.285,0.146,1.76867280475402e-07,"3","ATP5A1"
"BRK1",6.09592071508178e-12,0.518653064153723,0.273,0.144,1.96849471731421e-07,"3","BRK1"
"PEBP11",1.2442891835327e-11,0.649910114665428,0.459,0.306,4.01805863146379e-07,"3","PEBP1"
"BSG",1.87371389777731e-11,0.610532396993415,0.401,0.254,6.05059691870249e-07,"3","BSG"
"DUSP11",2.46501286728379e-11,0.530801857358581,0.32,0.18,7.9600195510328e-07,"3","DUSP1"
"PPP1R12A",6.0060516469676e-11,0.458315501298179,0.25,0.128,1.93947419783878e-06,"3","PPP1R12A"
"WASF2",9.3491212055277e-11,0.49698500970514,0.262,0.139,3.019018219689e-06,"3","WASF2"
"HDLBP1",1.16316633528014e-10,0.585096202402371,0.352,0.216,3.75609672988664e-06,"3","HDLBP"
"CNN2",1.33967469686754e-10,0.410696770317787,0.276,0.147,4.32607753112464e-06,"3","CNN2"
"NUCKS11",2.18102406524183e-10,0.48662531318581,0.477,0.323,7.04296291147891e-06,"3","NUCKS1"
"NPC21",2.26999216899937e-10,0.635053545586344,0.381,0.248,7.33025871213278e-06,"3","NPC2"
"HLA.J1",2.42129526793331e-10,0.296796807131566,0.494,0.305,7.81884667921026e-06,"3","HLA.J"
"STAT2",4.30590087434909e-10,0.553765749492649,0.253,0.138,1.39046151034481e-05,"3","STAT2"
"GRN",4.57632131337593e-10,0.505837470507322,0.276,0.157,1.47778567851535e-05,"3","GRN"
"ARF4",6.91288133636936e-10,0.497873145067724,0.323,0.191,2.23230764114039e-05,"3","ARF4"
"FTHL10",1.14075540424002e-09,0.319942389273168,0.884,0.81,3.68372735137186e-05,"3","FTHL10"
"RPL51",1.17534439884964e-09,0.347929967643876,0.683,0.537,3.79542213276524e-05,"3","RPL5"
"MRFAP1",1.46124187236742e-09,0.381642349722421,0.308,0.176,4.71864225424888e-05,"3","MRFAP1"
"MORF4L11",1.92102803772018e-09,0.33874781792374,0.465,0.312,6.203383739406e-05,"3","MORF4L1"
"RHOB1",1.92583354929744e-09,0.617445263547925,0.314,0.191,6.21890169739129e-05,"3","RHOB"
"IER31",2.14785205647622e-09,0.562153012886447,0.599,0.463,6.935843860773e-05,"3","IER3"
"EMP31",3.07510475612525e-09,0.443333880983107,0.273,0.151,9.93012827847965e-05,"3","EMP3"
"PEA15",3.375950511662e-09,0.474168901090244,0.285,0.167,0.000109016193922589,"3","PEA15"
"RBM31",9.43079912138971e-09,0.404101310602149,0.378,0.247,0.000304539365227917,"3","RBM3"
"AP2M1",9.74243313408809e-09,0.478515387892819,0.331,0.208,0.000314602650765973,"3","AP2M1"
"IGFBP31",1.29849701593311e-08,1.58572426567982,0.285,0.184,0.00041931065638512,"3","IGFBP3"
"DAD1",1.50007221969032e-08,0.344905031051444,0.294,0.174,0.000484403321182399,"3","DAD1"
"C4orf3",1.67752308968965e-08,0.442528071953139,0.311,0.194,0.000541705756122582,"3","C4orf3"
"HLA.C1",4.30626703334972e-08,0.278072028648052,0.834,0.741,0.00139057975040929,"3","HLA.C"
"CAP11",4.47629075623067e-08,0.409151641343196,0.32,0.196,0.00144548381100201,"3","CAP1"
"FOXP11",6.99866872508744e-08,0.461335858293604,0.416,0.294,0.00226001010470524,"3","FOXP1"
"JUN2",8.61799032870469e-08,0.561970084060559,0.654,0.553,0.00278292143694532,"3","JUN"
"NUPR12",1.09805578320172e-07,0.317415498742701,0.285,0.175,0.00354584173511499,"3","NUPR1"
"C6orf481",1.10189313140655e-07,0.387184690061536,0.462,0.332,0.00355823329993803,"3","C6orf48"
"GPX41",1.3540338628342e-07,0.493536239702367,0.308,0.196,0.00437244614986419,"3","GPX4"
"SOCS3",1.41970663768101e-07,0.514453081554303,0.253,0.153,0.0045845166743995,"3","SOCS3"
"LAMP1",1.62863704673132e-07,0.362711759112768,0.317,0.201,0.00525919475130477,"3","LAMP1"
"TUBB",1.81618774800039e-07,0.398192227775629,0.494,0.376,0.00586483347584286,"3","TUBB"
