"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCNL1",8.3169887536024e-08,0.314942509125884,0.475,0.49,0.00268572200831329,"1","CCNL1"
"SRSF11",1.8059842641943e-07,0.496788611243782,0.319,0.317,0.00583188438593624,"1","SRSF11"
"SRP14",2.76256716952351e-07,0.358138193264983,0.422,0.437,0.00892088190382532,"1","SRP14"
"PPIAL3",4.35022662718657e-07,0.325845732459824,0.35,0.343,0.0140477518245109,"1","PPIAL3"
"C6orf48",5.14751335671655e-07,0.564553290863132,0.334,0.339,0.0166223501315091,"1","C6orf48"
"GADD45B",6.88419798980424e-07,0.739910675560747,0.269,0.255,0.0222304521486759,"1","GADD45B"
"ATP6V0E1",2.05081170751957e-06,0.428863425018488,0.269,0.258,0.066224811659222,"1","ATP6V0E1"
"RP11.92K2.2",4.05103633558386e-06,0.37200435182981,0.385,0.402,0.130816065348674,"1","RP11.92K2.2"
"PRDX1",4.16058948486253e-06,0.393633028364932,0.419,0.445,0.134353755645181,"1","PRDX1"
"PA2G4",5.46923679670536e-06,0.476638896130269,0.257,0.248,0.17661259463921,"1","PA2G4"
"TOMM7",1.19350035998972e-05,0.372061045451715,0.507,0.558,0.38540513624788,"1","TOMM7"
"ATP5E",1.35855549142309e-05,0.352996377147928,0.46,0.5,0.438704739290344,"1","ATP5E"
"EWSR1",1.57131525879224e-05,0.45568395836992,0.267,0.26,0.50740912336919,"1","EWSR1"
"RPL14P1",5.9047740510337e-05,0.449659933262459,0.27,0.27,1,"1","RPL14P1"
"HMGB1",7.38893471752086e-05,0.328491548444642,0.453,0.48,1,"1","HMGB1"
"RP11.345K20.2",0.000141379919194484,0.421817641438051,0.277,0.282,1,"1","RP11.345K20.2"
"HLA.F",0.000176834998583587,0.378143003669141,0.301,0.307,1,"1","HLA.F"
"RP3.340B19.2",0.000186050641129161,0.425769506543396,0.293,0.301,1,"1","RP3.340B19.2"
"HSPA1B",0.000484567431866254,0.644197098443051,0.668,0.79,1,"1","HSPA1B"
"HMGN1",0.000497966035657671,0.432653747979209,0.274,0.278,1,"1","HMGN1"
"ATP5L",0.000512630638915242,0.385979637904887,0.338,0.358,1,"1","ATP5L"
"NACAP1",0.00117789437877511,0.411177543571823,0.264,0.269,1,"1","NACAP1"
"RP11.212P7.1",0.00131106623758259,0.381866004166266,0.32,0.339,1,"1","RP11.212P7.1"
"ARPC3",0.00163905939040283,0.407443593004891,0.287,0.299,1,"1","ARPC3"
"CYCS",0.00440740914427006,0.379823152020179,0.283,0.295,1,"1","CYCS"
"EIF4A3",0.00554547030173526,0.38416552424727,0.342,0.369,1,"1","EIF4A3"
"SYNE2",0.00649331812540566,0.481172456755366,0.253,0.258,1,"1","SYNE2"
"SLPI",0,5.54249877165405,0.943,0.199,0,"2","SLPI"
"SCGB3A1",0,5.40401383683225,0.647,0.065,0,"2","SCGB3A1"
"CLU",0,5.23647788224203,0.948,0.17,0,"2","CLU"
"WFDC2",0,4.34880451098133,0.841,0.046,0,"2","WFDC2"
"MMP7",0,4.08281244528138,0.571,0.049,0,"2","MMP7"
"BPIFB1",0,3.7766652045287,0.497,0.018,0,"2","BPIFB1"
"PIGR",0,3.73727599686694,0.708,0.03,0,"2","PIGR"
"SAA2",0,3.32836792055146,0.529,0.037,0,"2","SAA2"
"AZGP1",0,3.21970359655535,0.538,0.012,0,"2","AZGP1"
"KRT7",0,2.94586169748021,0.595,0.019,0,"2","KRT7"
"RARRES1",0,2.90228378915102,0.514,0.024,0,"2","RARRES1"
"DEFB1",0,2.89524777605354,0.403,0.023,0,"2","DEFB1"
"MUC5B",0,2.29890521218052,0.44,0.006,0,"2","MUC5B"
"C3",0,2.04529003406881,0.444,0.025,0,"2","C3"
"CP",0,1.98266277924845,0.34,0.01,0,"2","CP"
"TCN1",0,1.85975905153075,0.307,0.009,0,"2","TCN1"
"SLC34A2",0,1.85465945008295,0.355,0.006,0,"2","SLC34A2"
"TMC5",0,1.6568301453801,0.342,0.011,0,"2","TMC5"
"AQP5",0,1.63939511706372,0.309,0.008,0,"2","AQP5"
"CCL28",0,1.57625340913313,0.272,0.007,0,"2","CCL28"
"EFCAB4A",0,1.44982398183011,0.283,0.01,0,"2","EFCAB4A"
"MLPH",0,1.39209498396515,0.294,0.011,0,"2","MLPH"
"DMBT1",4.98943698012367e-299,2.14829712656895,0.261,0.009,1.61118898962153e-294,"2","DMBT1"
"ZG16B",5.00863442813264e-281,2.76256557893455,0.303,0.016,1.61738822953259e-276,"2","ZG16B"
"ANKRD36C",1.89729338612937e-275,2.70226395004159,0.566,0.078,6.12673980248897e-271,"2","ANKRD36C"
"FAM3D",2.41040047240965e-264,1.44009741123752,0.309,0.018,7.78366520550523e-260,"2","FAM3D"
"GMDS",2.80819927616738e-251,1.42909571064888,0.329,0.023,9.06823710259969e-247,"2","GMDS"
"LCN21",4.44337281642029e-251,2.81750366685858,0.789,0.199,1.43485394987844e-246,"2","LCN2"
"AKR1C2",2.4268737458775e-246,1.72316408187708,0.366,0.032,7.83686070018762e-242,"2","AKR1C2"
"SAA1",2.86065706482798e-244,3.9167946457471,0.815,0.251,9.23763379374251e-240,"2","SAA1"
"LTF",7.54938343445388e-213,5.79283990290578,0.741,0.229,2.43784689865385e-208,"2","LTF"
"MUC1",2.54153921455678e-209,1.49092437315786,0.368,0.039,8.20713843164675e-205,"2","MUC1"
"NFIB",1.97451842733172e-177,1.44854372686305,0.342,0.04,6.3761149055396e-173,"2","NFIB"
"FOXC1",8.41774750664417e-177,1.27250037386302,0.275,0.024,2.71825902484553e-172,"2","FOXC1"
"DUSP23",6.86192799154315e-175,1.77941606009873,0.438,0.071,2.21585378702911e-170,"2","DUSP23"
"CD741",1.79952836725542e-143,1.70598131309764,0.926,0.576,5.8110370035412e-139,"2","CD74"
"CXCL17",1.43653535201375e-126,1.89068950215928,0.566,0.169,4.6388599587228e-122,"2","CXCL17"
"TGM2",2.27901647967244e-126,1.37069009348453,0.255,0.03,7.35940001615824e-122,"2","TGM2"
"SOX9",6.2081684934278e-123,1.44555258984756,0.322,0.052,2.0047417698977e-118,"2","SOX9"
"NFIX",6.41863668455602e-99,1.19404375436058,0.29,0.05,2.07270615817683e-94,"2","NFIX"
"AKR1C1",1.11114682962615e-97,1.32836164305955,0.386,0.09,3.58811534222877e-93,"2","AKR1C1"
"CST3",4.10829394782649e-94,1.54557573785856,0.619,0.248,1.32665028163213e-89,"2","CST3"
"CRIP2",4.2911369551682e-94,1.16391022708414,0.303,0.056,1.38569394556292e-89,"2","CRIP2"
