Age;Sex;Volume;Weight;TBV/Weight 
14.5;F;62.87276563;7.4;8.496319679
14.5;F;60.66464063;4.9;12.3805389
14.5;M;76.50307813;9.2;8.31555197
15.5;F;70.23754688;6.7;10.48321595
15.5;F;70.76201563;6.9;10.25536458
15.5;F;70.01246875;7.2;9.723953993
15.5;F;61.09315625;4.45;13.72879916
15.5;F;71.121625;6.8;10.4590625
15.5;F;65.3573125;4.1;15.94080793
15.5;F;68.5919375;3.9;17.58767628
15.5;F;62.14496875;5.3;11.7254658
15.5;F;68.87767188;7.6;9.062851563
15.5;M;76.37370313;6.85;11.14944571
16.5;F;72.35017188;7;10.33573884
16.5;F;65.14407813;6.9;9.441170743
16.5;F;64.099375;6.3;10.17450397
16.5;M;67.74635938;9;7.527373264
17.5;F;66.74684375;4.6;14.51018342
17.5;F;63.2174375;5.8;10.89955819
18.5;M;69.0721875;8.06;8.56975031
18.5;F;61.94842188;6.05;10.23940857
19.5;F;61.6761875;5.5;11.21385227
20.5;M;67.96684375;7.22;9.41369027
20.5;F;58.61717188;5;11.72343438
20.5;F;60.56873438;5.4;11.21643229
20.5;F;58.23614063;4;14.55903516
20.5;F;62.3903125;3;20.79677083
21.5;F;62.44826563;4;15.61206641
22.5;F;67.29957813;4.5;14.95546181
22.5;F;58.75179688;5.8;10.12962015
22.5;F;72.38809375;7.5;9.651745833
22.5;F;65.06048438;4.7;13.84265625
22.5;F;54.08439063;5.35;10.10923189
22.5;F;56.326125;3.7;15.22327703
22.5;F;63.51225;5.2;12.21389423
22.5;F;55.65315625;4.5;12.36736806
23.5;F;67.99607813;5.2;13.07616887
23.5;F;74.66996875;5;14.93399375
23.5;F;64.07953125;4;16.01988281
23.5;F;69.513625;4.5;15.44747222
23.5;F;56.19645313;4.8;11.7075944
23.5;F;53.66445313;3.45;15.55491395
23.5;F;67.47642188;4.3;15.69219113
23.5;F;68.36807813;4.9;13.95266901
23.5;F;61.37601563;3.9;15.7374399
23.5;F;62.26640625;3;20.75546875
24.5;F;65.77778125;5.7;11.53996162
24.5;F;62.88525;3.9;16.12442308
24.5;F;75.089125;4.2;17.8783631
24.5;F;53.5008125;4.8;11.1460026
24.5;F;57.02009375;4.5;12.67113194
24.5;F;59.6761875;4.75;12.56340789
24.5;F;64.11125;5.4;11.8724537
24.5;F;64.79457813;3.4;19.05722886
24.5;F;66.32098438;6;11.0534974
24.5;F;60.66198438;4.6;13.18738791
25.5;F;71.4238125;4.8;14.87996094
25.5;F;65.058125;5.3;12.27511792
25.5;F;71.94689063;4.15;17.33660015
25.5;F;57.65135938;5.5;10.48206534
25.5;F;58.77254688;3;19.59084896
25.5;F;57.4221875;5.1;11.25925245
25.5;F;54.01276563;4.5;12.00283681
26.5;F;57.356625;4.7;12.20353723
26.5;M;64.9529375;4.2;15.46498512
29.5;F;58.00823438;4.2;13.81148438
