"chisq","df","p"
"radscore",2.52325472969147,1,0.112178834400311
"SGS",0.195417422648968,1,0.658445478394199
"familial_epilepsy",0.0870143293977247,1,0.768007696085369
"Durmon",1.07143273133289,1,0.300622049872172
"SE",0.0446466052430859,1,0.832655185783566
"GLOBAL",3.80740544052259,5,0.577464640146882
